asset_name,present position,return,extreme_ret,vol,CMBS 2.0 BBB,CMBS 2.0 BB,CMBS 2.0 B Piece Combo,CMBS 2.0 IO,CMBX NA BBB 9,CMBX NA BB 9,CLO 2.0 BBB,CLO 2.0 BB,CLO 2.0 B,CLO 2.0 Equity,CLO 1.0 BBB,CLO 1.0 BB,CLO 1.0 Equity,Cash,transaction_cost,ts100,tl100and200l,tl200,finance_cost,f!=0,haircut,real_finance_weight,lower_bounds,upper_bounds,BN,cond,BN_hidden,cond_Hidden
CMBS 2.0 BBB,0.02,0.07,-0.136,0.068,1,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,,-0.05,-0.05,-0.05,,-0.02,0.5,1,0,0.25,Hidden1,"100,0,2,98",Hidden3,"20,80"
CMBS 2.0 BB,0.19,0.0812,-0.292,0.146,,1,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,,-0.05,-0.05,-0.05,,-0.02,0.5,1,0,0.25,Hidden1,"100,0,2,98",Hidden1+Hidden3,"100,0,10,90"
CMBS 2.0 B Piece Combo,0.07,0.19,-0.378,0.189,,,1,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,,-0.05,-0.05,-0.05,,-0.02,0.5,1,0,0.25,Hidden1,"100,0,2,98",Hidden2+Hidden3,"100,0,10,90"
CMBS 2.0 IO,0,0.1035,-0.1,0.004,,,,1,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,,-0.05,-0.05,-0.05,,-0.02,0.5,1,0,0.05,Hidden1,"100,0,2,98",,
CMBX NA BBB 9,0,0.0557,-0.136,0.068,,,,,1,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,,-0.05,-0.05,-0.05,,-0.02,0,0.05,-1,1,Hidden1,"75,25,2,98",,
CMBX NA BB 9,0,0.0834,-0.292,0.146,,,,,,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,,-0.05,-0.05,-0.05,,-0.02,0,0.05,-1,1,Hidden1,"75,25,2,98",,
CLO 2.0 BBB,0,0.0814,-0.12,0.06,,,,,,,1,0.5,0.5,0.5,0.5,0.5,0.5,0,,-0.05,-0.05,-0.05,,-0.02,0.5,1,0,0.25,Hidden2,"100,0,2,98",,
CLO 2.0 BB,0.12,0.11,-0.188,0.094,,,,,,,,1,0.5,0.5,0.5,0.5,0.5,0,,-0.05,-0.05,-0.05,,-0.02,0.5,1,0,0.25,Hidden2,"100,0,2,98",,
CLO 2.0 B,0,0.2055,-0.402,0.201,,,,,,,,,1,0.5,0.5,0.5,0.5,0,,-0.05,-0.05,-0.05,,-0.02,0.5,1,0,0.25,Hidden2,"100,0,2,98",,
CLO 2.0 Equity,0.05,0.2403,-0.548,0.274,,,,,,,,,,1,0.5,0.5,0.5,0,,-0.05,-0.05,-0.05,,-0.02,0.5,1,0,0.25,Hidden2,"100,0,2,98",,
CLO 1.0 BBB,0.25,0.0684,-0.042,0.021,,,,,,,,,,,1,0.5,0.5,0,,-0.05,-0.05,-0.05,,-0.02,0.5,1,0,0.25,Hidden2,"100,0,2,98",,
CLO 1.0 BB,0.25,0.0953,-0.11,0.055,,,,,,,,,,,,1,0.5,0,,-0.05,-0.05,-0.05,,-0.02,0.5,1,0,0.25,Hidden2,"100,0,2,98",,
CLO 1.0 Equity,0.05,0.1286,-0.404,0.202,,,,,,,,,,,,,1,0,,-0.05,-0.05,-0.05,,-0.02,0.5,1,0,0.25,Hidden2,"100,0,2,98",,
Cash,0,0.0065,0.0065,0,,,,,,,,,,,,,,1,,-0.05,-0.05,-0.05,,-0.02,1,1,0,1,,"0,100",,
